Description;Price;Full_Url;Item_Id;Json_Url
Молоко козье Ешь Деревенское от Максима Селиванова пастеризованное 2.8-5.6% 500мл;125;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tselnoe-pitevoe-pasterizovannoe-koze-massovaya-dolya-jira-2-8-5-6-500-g--691998;691998;http://www.perekrestok.ru/product/691998/preview-html
Молоко козье Ешь Деревенское от Максима Селиванова пастеризованное 2.8-5.6% 1кг;215;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tselnoe-pitevoe-pasterizovannoe-koze-massovaya-dolya-jira-2-8-5-6-1000-g--691999;691999;http://www.perekrestok.ru/product/691999/preview-html
Молоко Белый город ультрапастеризованное 1.5% 1л;69,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gor-mol-pit-ulpast-1-5-1l--559779;559779;http://www.perekrestok.ru/product/559779/preview-html
Молоко Ешь Деревенское от Максима Селиванова пастеризованное 3-6% 1л;100;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-0-6-0-1000-g--692001;692001;http://www.perekrestok.ru/product/692001/preview-html
Молоко Ешь Деревенское от Максима Селиванова пастеризованное 3-6% 500мл;60;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-0-6-0-500-g--692000;692000;http://www.perekrestok.ru/product/692000/preview-html
Молоко Можайское стерилизованное 3.2% 450мл;84,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/mojayskoe-moloko-ster-3-2-0-45l--307122;307122;http://www.perekrestok.ru/product/307122/preview-html
Молоко Домик в деревне Топленое 3.2% 925мл;114,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/d-v-d-mol-topl-3-2-950g--332545;332545;http://www.perekrestok.ru/product/332545/preview-html
Молоко детское Тема обогащенное ультрапастеризованное 3.2% 200мл;29,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-mol-ulpast-obog-3-2200ml--336842;336842;http://www.perekrestok.ru/product/336842/preview-html
Молоко Ешь Деревенское от Валентина Рошки пастеризованное 3.2-6% 930г;85;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-2-6-staritskaya-ferma930-g--691987;691987;http://www.perekrestok.ru/product/691987/preview-html
Молоко Рузское пастеризованное 2.5% 1кг;119;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-2-5-1000g--307138;307138;http://www.perekrestok.ru/product/307138/preview-html
Молоко Рузское пастеризованное 1.5% 1кг;111,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-ruzskoe-1-5-1l--482788;482788;http://www.perekrestok.ru/product/482788/preview-html
Молоко детское Тема ультрапастеризованное 3.2% 200мл;30,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-moloko-ulpast-detskoe-3-2-200ml--306128;306128;http://www.perekrestok.ru/product/306128/preview-html
Молоко ВкусВилл 1% 450мл;37;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvill-moloko-1-450g--720838;720838;http://www.perekrestok.ru/product/720838/preview-html
