;Description;Full_Url;Item_Id;Json_Url;Price;Url;brand_x;obem_x;sostav_x;srok-hraneniya-maks_x;brand_y;obem_y;sostav_y;srok-hraneniya-maks_y;proizvoditel;ves
65;Молоко Искренне Ваш пастеризованное 3.4-6% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/is-v-molok-past-3-4-6-930g--435046;435046.0;http://www.perekrestok.ru/product/435046/preview-html;79,9;;;;;;Искренне Ваш;930;Цельное молоко;15;;
66;Молоко Рузское цельное пастеризованное 3.2-4% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-ruzskoe-tsel-3-2-4-1000g--307139;307139.0;http://www.perekrestok.ru/product/307139/preview-html;145;;;;;;;;Молоко цельное;10;Рузское молоко;1000
67;Молоко Домик в деревне ультрапастеризованное 3.5% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-3-5-tp-200g--306294;306294.0;http://www.perekrestok.ru/product/306294/preview-html;31,9;;;;;;Домик в деревне;200;Молоко цельное, сливки;180;;
68;Молоко Правильное Молоко пастеризованное 3.2-4% 2л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-2l--310201;310201.0;http://www.perekrestok.ru/product/310201/preview-html;161,9;;;;;;Правильное Молоко;2000;Цельное молоко;25;;
69;Молоко фермерское коровье от Михаила Понарского пастеризованное 3.2-4% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tsel-pit-past-3-2-4-1kg--468066;468066.0;http://www.perekrestok.ru/product/468066/preview-html;87,90  /кг;;;;;;;1000;Молоко коровье пастеризованное;6;ИП Понарский М.Б.;
70;Молоко Правильное Молоко пастеризованное 3.2-4% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-0-9l--310202;310202.0;http://www.perekrestok.ru/product/310202/preview-html;109,9;;;;;;Правильное Молоко;900;Цельное молоко;25;;
71;Молоко Село Зеленое ультрапастеризованное 1.5% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-1-5-950ml--317947;317947.0;http://www.perekrestok.ru/product/317947/preview-html;54,9;;;;;;Село Зеленое;950;Молоко обезжиренное, молоко цельное;180;;
72;Молоко Parmalat Natura Premium Dietalat ультрапастеризованное 0.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-diet-pit-ulpast-vit0-51l--313671;313671.0;http://www.perekrestok.ru/product/313671/preview-html;84,9;;;;;;Parmalat;1000;Нормализованное молоко, витаминный комплекс (А, Д3, Е);120;;
73;Молоко Сарафаново Отборное пастеризованное 3.4-4% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sarafan-moloko-otb-past-det-3-4-4-930ml--330541;330541.0;http://www.perekrestok.ru/product/330541/preview-html;68,9;;;;;;Сарафаново;930;Цельное молоко;21;;
74;Молоко Valio ультрапастеризованное 0.05% 971мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/val-mol-pit-0-1kg--501741;501741.0;http://www.perekrestok.ru/product/501741/preview-html;94,9;;;;;;;971;Обезжиренное молоко;120;Valio;
75;Молоко Valio ультрапастеризованное 3.2% 973л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/valio-moloko-uht-3-2-1kg--306332;306332.0;http://www.perekrestok.ru/product/306332/preview-html;114,9;;;;;;;973;Цельное молоко, обезжиренное молоко;120;Valio;
76;Молоко Брест-Литовск ультрапастеризованное 3.6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sav-prod-moloko-brest-lit-ulpast3-6-1l--311124;311124.0;http://www.perekrestok.ru/product/311124/preview-html;79,9;;;;;;Брест-Литовск;1000;Изготовлен из молока нормализованного;15;;
77;Молоко Правильное Молоко пастеризованное 1.5% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-1-5-pet-0-9l--310203;310203.0;http://www.perekrestok.ru/product/310203/preview-html;95,9;;;;;;Правильное Молоко;900;Нормализованное молоко;25;;
78;Молоко Простоквашино Топленое 3.2% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-toplenoe-3-2-930g--314023;314023.0;http://www.perekrestok.ru/product/314023/preview-html;84,9;;;;;;Простоквашино;930;Нормализованное молоко;12;;
79;Молоко Домик в деревне Топленое 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-topl-past-3-2-pet-950g--310798;310798.0;http://www.perekrestok.ru/product/310798/preview-html;95,9;;;;;;Домик в деревне;925;молоко нормализованное топленое;21;;
80;Молоко Большая Кружка ультрапастеризованное 5% 1.45л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bol-kruj-mol-ulpast-5-1450g--451906;451906.0;http://www.perekrestok.ru/product/451906/preview-html;145;;;;;;Большая Кружка;1450;Цельное молоко, сливки;180;;
81;Молоко козье G-balance пастеризованное 3.5-4.8% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/g-bal-mol-koz-ts-p-3-5-4-8500ml--396452;396452.0;http://www.perekrestok.ru/product/396452/preview-html;189;;;;;;G-balance;500;Молоко козье натуральное (нормализованное, стерилизованное);89;;
82;Молоко Асеньевская Ферма Топленое 4% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asenev-ferma-moloko-topl-4-900ml--312993;312993.0;http://www.perekrestok.ru/product/312993/preview-html;95,9;;;;;;Асеньевская Ферма;900;Молоко цельное, сливки;10;;
83;Молоко Сарафаново пастеризованное 2.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sarafan-moloko-past-det-2-5-930ml--330540;330540.0;http://www.perekrestok.ru/product/330540/preview-html;64,9;;;;;;Сарафаново;930;Нормализованное молоко;21;;
84;Молоко детское Агуша с пребиотиками стерилизованное 2.5% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-mol-det-ster-s-preb-2-5-200g--308436;308436.0;http://www.perekrestok.ru/product/308436/preview-html;31,9;;;;;;Агуша;200;Молоко нормализованное, пребиотик - лактулоза;90;;
85;Молоко Домик в деревне пастеризованное 2.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-past-2-5-930ml--310788;310788.0;http://www.perekrestok.ru/product/310788/preview-html;82,9;;;;;;Домик в деревне;930;Молоко нормализованное;15;;
86;Молоко Moloko Group Джерси пастеризованное 4.5-7% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-mg-djersi-4-5-7-1000g--868736;868736.0;http://www.perekrestok.ru/product/868736/preview-html;149;;;;;;Moloko Group;;Цельное молоко от коров Джерсейской породы;9;;1000
87;Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 1.8% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-low-lact-ulpast1-8-200ml--449600;449600.0;http://www.perekrestok.ru/product/449600/preview-html;31,9;;;;;;Parmalat;200;Нормализованное молоко;180;;
88;Молоко Домик в деревне Отборное пастеризованное 3.5-4.5% 1.4л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-past-3-7-pet-1400ml--310893;310893.0;http://www.perekrestok.ru/product/310893/preview-html;123,9;;;;;;Домик в деревне;1400;Цельное молоко;15;;
89;Молоко Маркет Зеленая линия пастеризованное 3.2-4% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/z-lin-mol-3-2-but-900ml--482473;482473.0;http://www.perekrestok.ru/product/482473/preview-html;56;;;;;;Маркет Зеленая линия;900;Молоко цельное, молоко обезжиренное;5;;
90;Молоко Домик в деревне ультрапастеризованное 0.5% 923мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-0-5-950g--306297;306297.0;http://www.perekrestok.ru/product/306297/preview-html;91,9;;;;;;Домик в деревне;923;Молоко обезжиренное, молоко цельное;270;;
91;Молоко Valio Eila ультрапастеризованное безлактозное 1.5% 250мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/valio-mol-eila-blakt1-5-250ml--432102;432102.0;http://www.perekrestok.ru/product/432102/preview-html;61,9;;;;;;;250;Нормализованное молоко, витамин D;120;Valio;
92;Молоко ВкусВилл 3.4-6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvi-moloko-tsel-3-5-61l--720825;720825.0;http://www.perekrestok.ru/product/720825/preview-html;53;;;;;;ВкусВилл;1000;Молоко цельное;5;;
93;Молоко ВкусВилл 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvill-moloko-3-2-1l--720821;720821.0;http://www.perekrestok.ru/product/720821/preview-html;50;;;;;;ВкусВилл;1000;Молоко нормализованное;5;;
94;Молоко ВкусВилл 3.2% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvill-mol-3-2-v-but-0-9l--720828;720828.0;http://www.perekrestok.ru/product/720828/preview-html;56;;;;;;ВкусВилл;900;Молоко цельное, молоко обезжиренное;6;;
95;Молоко Parmalat пастеризованное 2.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-past-2-5-pet-1l--314330;314330.0;http://www.perekrestok.ru/product/314330/preview-html;81,9;;;;;;Parmalat;1000;Нормализованное молоко;10;;
96;Молоко Николаевская ферма Отборное пастеризованное 3.4-5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/nik-fer-mol-otbor-3-4-5-1000ml--439201;439201.0;http://www.perekrestok.ru/product/439201/preview-html;119;;;;;;;1000;Молоко цельное;8;Николаевская ферма;
97;Молоко Домик в деревне пастеризованное 2.5% 1.4л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-past-2-5-pet-1400ml--310894;310894.0;http://www.perekrestok.ru/product/310894/preview-html;119;;;;;;Домик в деревне;1400;Молок нормализованное;15;;
98;Молоко Киржачский МЗ Отборное пастеризованное 3.4-6% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/kirj-mz-moloko-pit-otb-past-3-4-6-930g--310579;310579.0;http://www.perekrestok.ru/product/310579/preview-html;91,9;;;;;;;930;Молоко коровье;10;Киржачский МЗ;
99;Молоко Домик в деревне ультрапастеризованное 3.5% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-3-5-950g--306295;306295.0;http://www.perekrestok.ru/product/306295/preview-html;109,9;;;;;;Домик в деревне;925;Молоко цельное, сливки;270;;
100;Молоко Большая Кружка ультрапастеризованное 3.2% 1.98кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bol-krujka-moloko-ulpast-3-2-1980g--508952;508952.0;http://www.perekrestok.ru/product/508952/preview-html;119,9;;;;;;Большая Кружка;;Цельное молоко, обезжиренное молоко;180;;
101;Молоко ВкусВилл Топленое 4% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvillmoloko-topl4-500g--720842;720842.0;http://www.perekrestok.ru/product/720842/preview-html;58;;;;;;ВкусВилл;500;Молоко нормализованное;6;;
102;Молоко ВкусВилл Безлактозное 3.5-4.5% 500г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvi-mol-blak3-5-4-5500g--720846;720846.0;http://www.perekrestok.ru/product/720846/preview-html;65;;;;;;ВкусВилл;;Молоко нормализованное;8;;500
103;Молоко Из Углича пастеризованное 2.5% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iz-uglicha-moloko-past-2-5-1l--452307;452307.0;http://www.perekrestok.ru/product/452307/preview-html;77,9;;;;;;;;Изготовлено из нормализованного пастеризованного молока;6;АгриВолга;1000
104;Молоко козье Ешь Деревенское от Максима Селиванова пастеризованное 2.8-5.6% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tselnoe-pitevoe-pasterizovannoe-koze-massovaya-dolya-jira-2-8-5-6-500-g--691998;691998.0;http://www.perekrestok.ru/product/691998/preview-html;125;;;;;;Ешь Деревенское;500;Молоко цельное козье;5;;
105;Молоко козье Ешь Деревенское от Максима Селиванова пастеризованное 2.8-5.6% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tselnoe-pitevoe-pasterizovannoe-koze-massovaya-dolya-jira-2-8-5-6-1000-g--691999;691999.0;http://www.perekrestok.ru/product/691999/preview-html;215;;;;;;Ешь Деревенское;;Молоко цельное козье;5;;1000
106;Молоко Белый город ультрапастеризованное 1.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gor-mol-pit-ulpast-1-5-1l--559779;559779.0;http://www.perekrestok.ru/product/559779/preview-html;69,9;;;;;;Белый город;1000;Нормализованное молоко;210;;
107;Молоко Ешь Деревенское от Максима Селиванова пастеризованное 3-6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-0-6-0-1000-g--692001;692001.0;http://www.perekrestok.ru/product/692001/preview-html;100;;;;;;Ешь Деревенское;1000;Молоко цельное;5;;
108;Молоко Ешь Деревенское от Максима Селиванова пастеризованное 3-6% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-0-6-0-500-g--692000;692000.0;http://www.perekrestok.ru/product/692000/preview-html;60;;;;;;Ешь Деревенское;500;Молоко цельное;5;;
109;Молоко Можайское стерилизованное 3.2% 450мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/mojayskoe-moloko-ster-3-2-0-45l--307122;307122.0;http://www.perekrestok.ru/product/307122/preview-html;84,9;;;;;;;450;Молоко нормализованное;180;Можайское;
110;Молоко Домик в деревне Топленое 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/d-v-d-mol-topl-3-2-950g--332545;332545.0;http://www.perekrestok.ru/product/332545/preview-html;114,9;;;;;;Домик в деревне;925;молоко нормализованное топленое;180;;
111;Молоко детское Тема обогащенное ультрапастеризованное 3.2% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-mol-ulpast-obog-3-2200ml--336842;336842.0;http://www.perekrestok.ru/product/336842/preview-html;29,9;;;;;;Тема;200;"Нормализованное молоко, премикс витаминно-минеральный (витамины – C, B1, фолиевая кислота, D3; минеральные вещества – железо, цинк, йод)";180;;
112;Молоко Ешь Деревенское от Валентина Рошки пастеризованное 3.2-6% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-pitevoe-pasterizovannoe-massovaya-dolya-jira-3-2-6-staritskaya-ferma930-g--691987;691987.0;http://www.perekrestok.ru/product/691987/preview-html;85;;;;;;Ешь Деревенское;930;Молоко цельное;5;;
113;Молоко Рузское пастеризованное 2.5% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-2-5-1000g--307138;307138.0;http://www.perekrestok.ru/product/307138/preview-html;119;;;;;;;;Молоко цельное, молоко обезжиренное;10;Рузское молоко;1000
114;Молоко Рузское пастеризованное 1.5% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-ruzskoe-1-5-1l--482788;482788.0;http://www.perekrestok.ru/product/482788/preview-html;111,9;;;;;;;;Молоко нормализованное;7;Рузское молоко;1000
115;Молоко детское Тема ультрапастеризованное 3.2% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-moloko-ulpast-detskoe-3-2-200ml--306128;306128.0;http://www.perekrestok.ru/product/306128/preview-html;30,9;;;;;;Тема;200;Нормализованное молоко;180;;
116;Молоко ВкусВилл 1% 450мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvill-moloko-1-450g--720838;720838.0;http://www.perekrestok.ru/product/720838/preview-html;37;;;;;;ВкусВилл;450;Молоко цельное, молоко обезжиренное;6;;
117;Молоко Рузское топленное 2.5% 500г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-toplennoe-ruzskoe-500g--845823;845823.0;http://www.perekrestok.ru/product/845823/preview-html;75,9;;;;;;;;Молоко цельное, молоко обежиренное;9;Рузское молоко;500
118;Молоко Parmalat Отборное пастеризованное 3.4-6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-past-otborn-pet-1l--313964;313964.0;http://www.perekrestok.ru/product/313964/preview-html;;;;;;;Parmalat;1000;Цельное молоко;9;;
119;Молоко Parmalat Natura Premium ультрапастеризованное 3.5% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parm-mol-pit-ulster-3-5-200ml--336965;336965.0;http://www.perekrestok.ru/product/336965/preview-html;;;;;;;Parmalat;200;Нормализованное молоко;180;;
120;Молоко Из Углича Топленое 3.6-4.2% 500г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iz-uglicha-moloko-toplenoe-3-6-5-2-500g--452306;452306.0;http://www.perekrestok.ru/product/452306/preview-html;;;;;;;;500;Изготовлено из цельного молока;9;АгриВолга;
121;Молоко Вкуснотеево ультрапастеризованное 3.2% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/vkusnot-moloko-ulpast-3-2-pet-900g--306725;306725.0;http://www.perekrestok.ru/product/306725/preview-html;;;;;;;Вкуснотеево;900;Изготовлено из цельного молока, молока обезжиренного;120;;
122;Молоко Нашей Дойки пастеризованное 3.4-6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/nash-doyki-moloko-past-3-4-6-but-1l--310105;310105.0;http://www.perekrestok.ru/product/310105/preview-html;;;;;;;Шестаково;1000;Молоко цельное;7;;
123;Молоко Авида ультрапастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/avida-moloko-ulpast-3-2-1l--353241;353241.0;http://www.perekrestok.ru/product/353241/preview-html;;;;;;;Авида;1000;Изготовлен из нормализованного молока;180;;
